adlah	adalah
aksebilitas	aksesbilitas
alkhamdulullah	alhamduillah
amdal	andal
ank	anak
anggarn	anggaran
antri	antre
antrian	antrean
antriannya	antreannya
baikk	baik
bantuan2	bantuan
balik	kembali
banyaaak	banyak
banyk	banyak
bersi	bersih
berua	berau
banget	sangat
bgt	sangat
black	hitam
blm	belum
byk	banyak
bnyak	banyak
bnyk	banyak
bnyakx	banyaknya
bole	boleh
cuma	hanya
cuman	hanya
dapet	dapat
dberdayakan	diberdayakan
degredadi	degradasi
deluan	duluan
dgn	dengan
diadain	diadakan
dibandingan	dibandingkan
dibonhkar	dibongkar
dikarenakankan	dikarenakan
disarankn	disarankan
disayngkan	disayangkan
ditingkatkn	ditingkatkan
dll	dan lain lain
dlm	dalam
doang	hanya
dsemua	semua
effort	usaha
emang	memang
food	makanan
ga	tidak
gak	tidak
gatau	tidak tahu
gatauu	tidak tahu
gatauuu	tidak tahu
gimana	bagaimana
gitu	begitu
hrs	harus
import	impor
imvestor	investor
infrastruktud	infrastruktur
jd	jadi
jengkel	kesal
jgn	jangan
jrg	jarang
jukut	ikan
kab	kabupaten
kabpaten	kabupaten
kabuoaten	kabupaten
kabupaten	kabupaten
kabupten	kabupaten
kalaupun	walaupun
kapasita	kapasitas
karna	karena
kasang	pasang
kayak	seperti
kebagian	dapat bagian
kec	kecamatan
kedaan	keadaan
keliatan	kelihatan
kepda	kepada
kesel	kesal
ketrampilan	keterampilan
klu	kalau
klo	kalau
konkrit	konkret
kqb	kabupaten
krna	karena
krn	karena
kudepannya	kedepannya
kuliiah	kuliah
kureng	kurang
kwalitas	kualitas
lahannhq	lahannya
lanjukan	lanjutkan
liat	lihat
lingkuangan	lingkungan
listirik	listrik
mampun	mampu
mangkanya	karena itu
masksimal	maksimal
masyatakat	masyarakat
matlis	mati listrik
membangub	membangun
memperlengkap	melengkapi
mempertahankn	mempertahankan
memproritaskan	memprioritaskan
mempuni	mumpuni
mengcover	mencakup
mengupayajan	mengupayakan
meninggkat	meningkat
menungkat	meningkat
menutung	manutung
moga	semoga
msh	masih
nganggur	menganggur
nggak	tidak
ngurangin	kurang
nun	namun
nunggu	tunggu
nyampe	sampai
org	orang
padamperlunya	padam perlunya
pariwista	pariwisata
pembetukan	pembentukkan
pemda	pemerintah daerah
pememerintah	pemerintah
pemerintahn	pemerintahan
pemertintah	pemerintah
pemkab	pemerintah kabupaten
pendidikian	pendidikan
pengelolalaanya	pengelolaannya
perbaiki	perbaikan
perbaikin	perbaikan
perbup	peraturan bupati
permudah	mempermudah
persulit	mempersulit
pertambagan	pertambangan
perubahanx	perubahannya
propinsi	provinsi
publish	terbit
ruma	rumah
sangan	sangat
sda	sumber daya alam
sdh	sudah
sdm	sumber daya manusia
segitu	sekian
seindonesis	seindonesia
sejuah	sejauh
sekedar	sekadar
seting	pengaturan
share	berbagi
skrng	sekarang
slalu	selalu
storage	penyimpanan
support	dukungan
sutainable	sustainable
tau	tahu
tdk	tidak
tersendat	terhambat
terupdate	terbaru
tetjadi	tejadi
thd	terhadap
thn	tahun
tidal	tidak
tp	tapi
tpi	tapi
tradisional	tradisional
transmigrasi	transmigrasi
transparan	transparan
transparansinya	transparansinya
transparasi	transparansi
transparnsi	transparansi
tsb	tersebut
ttg	tentang
turin	turun
udah	sudah
udh	sudah
unruk	untuk
unutk	untuk
update	perbaruan
utk	untuk
vacancy	lowongan
water	air
yaa	iya
yah	iya
yg	yang
